recsyschallenge_v2017_interactions_final_anonym_training_export.user_id	recsyschallenge_v2017_interactions_final_anonym_training_export.item_id	recsyschallenge_v2017_interactions_final_anonym_training_export.interaction_type	recsyschallenge_v2017_interactions_final_anonym_training_export.created_at
2082156	80	1	1484299172
1934123	140	1	1486388563
1320213	240	1	1479409825
297303	310	1	1484817366
1635596	310	1	1486370081
857319	340	1	1485121421
324595	350	1	1484591946
510320	350	1	1484841341
499620	390	1	1479387826
499620	390	1	1479387829
542981	390	1	1479374412
1547885	400	1	1478636674
1778811	460	1	1483869729
1705184	460	1	1484055045
376239	470	1	1485114289
241005	500	1	1478519143
321946	560	4	1484925131
1300778	560	4	1484302470
1555094	560	4	1484592137
1127372	590	1	1478529050
1279133	600	1	1479376025
303861	600	1	1479229329
145831	600	1	1479069879
262924	600	1	1479569848
262924	600	1	1479487348
1433734	600	1	1479145043
1458260	600	1	1479036893
2296210	600	1	1478937206
413650	600	2	1478946404
413650	600	1	1478946390
1973070	610	1	1485842486
1973070	610	1	1483611557
1148881	610	1	1483525324
1096201	610	1	1484209397
1366561	610	1	1485802510
1701797	610	1	1483603625
1701797	610	2	1483603622
1701797	610	1	1483388160
1701797	610	1	1483603609
772863	610	1	1483513837
1341483	680	1	1486104601
1636343	680	1	1485852804
1636343	680	2	1485852887
1341483	680	1	1485841906
1636343	680	1	1485875733
2335852	680	1	1486377314
287404	680	1	1485865795
287404	680	1	1485889064
287404	680	2	1486079907
287404	680	1	1485911258
287404	680	1	1486079751
287404	680	1	1485939479
148471	760	1	1485364024
1656223	760	1	1484586300
1617246	830	1	1485846306
1243041	830	1	1484061050
328721	830	1	1483512415
1899661	890	1	1485895914
2017611	890	1	1484229591
61911	890	4	1484425678
2017611	890	1	1483688368
2196101	890	1	1483468586
1122323	890	1	1485618386
26403	890	1	1483435299
794533	890	1	1484200257
518323	890	1	1483737789
1522853	890	1	1483425378
518323	890	1	1485272317
794533	890	1	1485285747
1122323	890	1	1485618345
717393	890	1	1484087433
108663	890	1	1484048442
2262873	890	1	1483478827
794533	890	1	1483728759
518323	890	3	1483473392
518323	890	1	1483473375
518323	890	1	1483470294
1269153	890	1	1484209974
2151193	890	1	1483538714
794533	890	2	1484200331
1703832	890	1	1484025156
69942	890	1	1485414517
1716782	890	1	1485846133
953252	890	1	1486373619
192202	890	1	1484733391
733238	890	1	1484081794
856138	890	4	1483611369
702758	890	1	1483605457
1286028	890	1	1484681814
2315488	890	1	1483423530
2114228	890	1	1484084866
702758	890	4	1483609071
1866918	890	1	1485513339
1866918	890	1	1485513416
1866918	890	1	1485513429
1866918	890	1	1486042497
1866918	890	1	1484919294
1866918	890	1	1483611417
985295	890	4	1485472450
856885	890	1	1483434450
943205	890	1	1484478639
943205	890	1	1485530217
856885	890	1	1483434513
856885	890	1	1485941228
390626	890	1	1484595047
2229006	890	1	1486027756
1339296	890	1	1483431452
1934326	890	1	1484416284
1813026	890	1	1486135434
1813026	890	1	1485880002
2190176	890	1	1486119193
1054626	890	1	1485130944
799499	890	1	1483514812
799499	890	1	1483514794
1883859	890	1	1484036927
1135849	890	1	1485185693
1135849	890	1	1485185833
1105119	890	1	1484727184
799499	890	1	1484723520
78697	890	1	1483559618
1220057	890	2	1485241176
1220057	890	1	1485241114
223107	890	1	1483466939
511127	890	4	1484821781
78697	890	1	1484346765
2128097	890	1	1485171665
1607817	890	4	1484126595
169767	890	1	1484038992
169767	890	1	1484637563
421317	890	4	1483449509
421317	890	1	1483445814
78697	890	1	1483457102
1509720	890	1	1483615906
1134910	890	1	1484133444
755700	890	1	1483739753
1496030	890	1	1485679991
828620	890	1	1484822564
2005110	890	1	1483464127
16170	890	1	1485334313
985240	890	1	1484042633
1054550	890	1	1485583460
1134910	890	1	1484133411
985240	890	1	1484042336
232940	890	1	1486385308
1054550	890	1	1485751021
232940	890	4	1484560432
1727644	890	1	1485268283
1565614	890	1	1485432259
1917634	890	1	1485251798
1108204	890	1	1483428588
1917634	890	1	1485252417
848937	930	1	1479655537
3003	930	4	1479670079
3003	930	1	1479666477
444531	930	4	1479654286
784422	930	4	1479577275
1735926	930	1	1479508695
19530	930	4	1479575426
1904647	1050	1	1479155150
231836	1070	4	1484901417
75034	1070	1	1484157913
1898760	1130	1	1483704230
