0	1	2	3
9710	984770	1483322575	1
10370	39898	1483333652	1
11340	1132660	1483328161	1
11920	426770	1483343838	1
11920	426770	1483342782	1
11920	426770	1483343028	1
12000	1760879	1483335534	1
12840	980593	1483340198	1
13860	1125139	1483337096	1
13860	42033	1483335120	1
19400	1055478	1483335562	1
22940	821752	1483342108	1
23070	2089934	1483319341	4
24910	1880931	1483341466	1
29250	685733	1483336355	1
29250	685733	1483336514	3
33290	1062632	1483337763	1
33290	1062632	1483337691	1
36830	2234135	1483331453	1
40450	413799	1483314935	2
40450	413799	1483314918	1
43100	429042	1483341496	1
43710	1320591	1483341880	4
49350	2065819	1483340324	1
49710	1161126	1483341622	1
52410	249606	1483341436	1
54170	191904	1483342464	1
54170	639998	1483341782	1
54170	184108	1483343397	1
54170	1939645	1483343368	4
60040	1929348	1483313876	1
60790	1734238	1483315085	1
64720	167074	1483336651	1
64720	914161	1483317800	1
64720	914161	1483317682	1
65590	51622	1483338547	1
65590	1969727	1483343196	2
65590	1969727	1483343086	1
69200	1553845	1483332556	1
69200	903824	1483312002	1
73210	658821	1483338346	1
73210	982678	1483335984	1
79980	361241	1483342549	1
79980	339243	1483337866	1
84670	1114877	1483312146	1
84670	1114877	1483312965	1
89170	952817	1483339736	1
91050	2305367	1483343096	1
91050	1182182	1483340789	1
99630	296533	1483339986	1
104050	1527580	1483341360	4
108080	1605615	1483338966	1
108180	823764	1483335775	1
110320	2101527	1483343576	3
110320	2101527	1483343559	1
110650	1394837	1483342945	1
110770	623887	1483339851	1
113430	124130	1483341798	1
116330	42273	1483334191	1
117200	480135	1483341687	1
122790	588600	1483335862	1
125310	728505	1483323010	1
127010	1526032	1483314096	1
131420	699869	1483333401	1
137530	1821504	1483340618	1
140710	1978490	1483312707	1
141230	370280	1483335513	1
143360	558028	1483341919	1
145510	1268704	1483312061	1
147130	2129225	1483322261	1
148240	2230468	1483342438	1
148840	67699	1483343155	1
148840	198444	1483339940	1
149370	182376	1483342120	1
149940	1945044	1483343779	1
150120	58128	1483319127	1
151290	1762136	1483338133	1
151290	880736	1483330586	1
152700	890253	1483343964	4
152700	890253	1483340360	1
152700	261232	1483324156	4
152700	175320	1483342136	1
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
159040	350507	1483090449	5
161910	484800	1483341267	1
162560	2229061	1483341471	1
163030	1233727	1483341142	4
164120	1410316	1483335969	1
164120	618453	1483338325	1
164740	1856117	1483343249	1
166710	2226959	1483341445	1
168320	1396581	1483342578	1
168540	266134	1483314556	2
168540	266134	1483314520	1
169630	1705275	1483339625	1
173290	2171454	1483342822	4
174350	1323483	1483343835	4
175390	1407720	1483326669	1
175390	1254213	1483339870	1
175390	1139872	1483341143	1
177230	994461	1483343459	1
181220	1430062	1483333043	1
181220	1430062	1483332988	1
182950	1118623	1483331294	1
185910	1436461	1483341584	4
193520	1180305	1483342130	1
200720	240356	1483334521	1
203070	1384151	1483343333	1
204960	1017631	1483338724	1
206940	308788	1483339575	1
206940	2152798	1483343581	1
207740	888373	1483313426	1
213610	1330934	1483339414	1
214000	2268754	1483334439	1
215010	2116284	1483339070	1
215010	678675	1483332071	1
227360	856406	1483342611	1
227360	60604	1483342712	1
229090	2191220	1483343178	1
230230	1587858	1483340075	2
232860	256922	1483313498	4
235030	1736566	1483333537	1
236050	401053	1483329610	4
242590	865710	1483342047	4
244330	1369117	1483341499	4
246640	129425	1483331310	4
250800	906389	1483336122	1
251270	1524386	1483336647	1
251270	1524386	1483336626	1
251270	1426719	1483342384	1
251270	1440034	1483340279	1
251750	23966	1483337479	1
253160	800376	1483338687	1
255880	1233710	1483341369	1
255880	1737460	1483340249	1
255880	15458	1483337726	1
256290	1318357	1483339549	1
258320	1731261	1483328992	1
258320	1731261	1483329029	1
260440	2128347	1483342890	1
260440	752418	1483331946	1
267370	1130212	1483343822	1
269520	1988466	1483338155	1
275420	1984688	1483342306	1
277080	1206430	1483342382	1
280580	2136879	1483341597	1
281170	2238545	1483315865	1
285620	1760879	1483333864	1
288560	252429	1483342117	1
290160	951299	1483330427	1
293070	984650	1483330491	1
296390	541977	1483343919	1
297000	2246041	1483342268	1
298130	1391312	1483343377	1
299700	401053	1483329607	4
302570	2218540	1483338520	1
302570	1058463	1483343024	1
302570	1058463	1483343074	1
304320	1292223	1483337266	1
306140	1302913	1483340223	1
307860	614139	1483343071	1
308600	2069537	1483311750	4
308800	1940651	1483338884	1
