0	1	2	3
680	1636343	1485852804	1
680	1636343	1485852887	2
680	1636343	1485875733	1
680	287404	1485865795	1
680	287404	1485889064	1
680	287404	1486079907	2
680	287404	1485911258	1
680	287404	1486079751	1
680	287404	1485939479	1
890	1813026	1486135434	1
890	1813026	1485880002	1
890	232940	1486385308	1
1690	28007	1485901374	1
1880	803720	1485860237	1
1880	803720	1485860254	3
2210	2087348	1485808417	3
2210	2087348	1485808259	1
2210	2087348	1485864955	1
2900	1401869	1486100608	1
3150	93056	1485921171	1
3320	354915	1486036371	1
3780	1306511	1486035251	1
3780	590618	1485796711	1
3780	590618	1485796686	1
3780	764189	1485892123	1
3910	1169391	1486119160	3
3910	1169391	1486119155	2
3910	1169391	1486119052	1
3910	576263	1485794377	1
4530	541933	1486391265	1
4580	989363	1485924733	1
4580	989363	1485924710	1
4580	296076	1485937824	2
4580	296076	1485937774	1
4580	296076	1485937936	1
4580	296076	1485937680	1
4580	1252622	1485963469	1
4580	1252622	1485963458	1
4580	1252622	1485963498	1
4580	1252622	1485963473	1
4580	1252622	1485963497	1
4580	1252622	1485963456	1
4580	1252622	1485963452	1
4580	1252622	1485963490	1
4580	1252622	1485963475	1
4580	1252622	1485963496	1
4580	1252622	1485963467	1
4580	1252622	1485963455	1
4580	1252622	1485963494	1
4580	1252622	1485963468	1
4580	1252622	1485963474	1
4580	1252622	1485963493	1
5270	1488358	1486102050	1
5270	1488358	1486101992	1
5270	832007	1486375711	1
5770	725735	1486032960	1
5770	725735	1486031442	1
5770	2001797	1486027480	1
6110	1328048	1485847758	1
6120	601530	1486417482	1
6120	1526142	1485803038	1
6610	954372	1486218191	1
6610	2059522	1486028244	1
6610	954372	1486300073	1
6610	1895949	1485797601	1
6610	698247	1485862836	1
6900	1591450	1485782126	1
7030	1708472	1486221054	1
7030	670726	1486053204	1
7030	209475	1485866897	1
7030	1629160	1485779088	1
7410	1015132	1485849461	1
7410	1237313	1485863679	1
7970	1127423	1485984995	1
8070	2194225	1485945912	1
8070	637825	1486041444	1
8120	1156424	1486036222	1
9740	317664	1486219022	1
9740	788359	1485895809	1
9740	788359	1485895769	1
9740	684166	1485845025	1
9740	684166	1485814648	1
9740	684166	1485814836	1
9740	684166	1486127206	1
9740	1454951	1486398389	1
9740	1454951	1486398388	1
9740	612887	1485865173	1
9740	7153	1485853788	1
9820	733031	1486038458	1
9820	1745895	1486034634	1
9820	1330613	1486366288	1
9820	152644	1486193773	1
9820	152644	1486193728	1
11460	2051858	1485969681	1
11460	2051858	1485969512	1
11460	667007	1485935277	1
12390	1043265	1486385696	2
12390	1043265	1486388145	1
12390	1043265	1486385626	1
12850	1080881	1486371637	1
13010	73808	1485963810	1
13140	1118225	1485787421	1
13510	1603161	1485957087	1
13510	1603161	1485957118	1
13550	2344358	1485851436	1
14000	103997	1485992624	1
14000	103997	1485992595	1
14700	124439	1486321820	1
15180	1928178	1486416014	1
16600	1356300	1486397523	1
16600	1356300	1486397537	1
16600	1356300	1486399177	1
16600	1356300	1486397468	1
16630	2221366	1486284358	1
16990	1044933	1485845757	1
17730	1812654	1485885732	1
19370	1613974	1485804732	1
19370	1613974	1485805010	1
21560	78761	1486319312	1
21560	2131827	1486367800	1
23120	1827140	1485792436	1
23380	885721	1486370969	1
24050	1036332	1485792668	1
24050	1036332	1486368549	1
24450	834038	1485889756	2
